Sr. No.,Barcode,Brand,Product Name,Weight,Category,Retail Price,Photograhy,Shopify,Product Picture in Shopify,Categorization
423,8690804367472,Sicam,Du Cap Bon Saus,380g,Sause,3.49,Done,Done,,
424,8692971481937,Bizim,Ketchup,420g,Sause,2.19,Done,Done,,
425,8690635260140,Ulker Bizim,Hot Ketchup,420g,Sause,2.19,Done,Done,Done,Done
426,8690777009720,Royal Melis,Aci Sos ,100ml,Sause,1.59,Done,Done,Done,Done
427,6194004802020,Exotic Food,Sriacha Aci Biber Sosu,455ml,Sause,3.99,Done,Done,,
428,6194004804482,Exotic Food,Sriacha Aci Biber Sosu,730ml,Sause,4.89,Done,Done,,
429,7613036028462,Exotic Food,Sriacha Aci Biber Sosu Aci,730ml,Sause,4.99,Done,Done,,
430,8698529303454,Exotic Food,Sriacha Aci Biber Sosu Aci,455ml,Sause,2.99,Done,Done,,
431,8698529301016,Suntat,Tomaten Ketchup,830g,Sause,2.49,Done,Done,Done,Done
432,8698529303836,Ulker Bizim,Ketchup,750g,Sause,2.69,Done,Done,Done,Done
433,8698529310469,Tat,Aci Biber Sosu,100ml,Sause,2.49,Done,Done,Done,Done
434,8698529301009,Sera,Acili Scharfe Chilli Sauce,88ml,Sause,1.99,Done,Done,Done,Done
435,8698529301054,Zgolli,Harissa Du CapBon,135g,Sause,1.99,Done,Done,Done,Done
436,8698529301047,Zgolli,Harissa Du CapBon,70g,Sause,1.49,Done,Done,,
437,9120018536566,Sicam,Harissa Du CapBon,380g,Sause,2.49,Done,Done,Done,Done
438,4011259040095,Maggi,Paprika Sahne Hahnchen,31g,Sause,1.97,Done,Done,,
439,4260505993184,Seyidoglu,Fig Jam,380g,Sause,3.99,Done,Done,,
440,8681334000496,Seyidoglu,Blackberry Jam,380g,Sause,3.99,Done,Done,Done ,Done
441,8695820007210,Seyidoglu,Peach Jam,380g,Sause,3.99,Done,Done,Done ,Done
442,4260157575912,Seyidoglu,Mixed Fruit Jam,380g,Sause,3.99,Done,Done,Done ,Done
443,8695867017319,Seyidoglu,Raspberry Jam,380g,Sause,3.99,Done,Done,,
444,8690777332019,Seyidoglu,Rosehip Jam,380g,Sause,3.99,Done,Done,Done ,Done
445,8719327028896,Seyidoglu,Quince jam,380g,Sause,3.99,Done,Done,Done ,Done
446,8690661083720,Brajloric,Rindsgulasch,300g,Sause,3.29,Done,Done,Done ,Done
447,8690804372469,Erciyes,Sip and Sak Curry Sosis,380g,Sause,3.29,Done,Done,Done ,Done
448,5411944114039,Bosna,Govedi Gulas,200g,Sause,3.49,Done,Done,Done,Done
449,4260157570313,Gourmet Celebi,Pistazien Creme,200g,Sause,4.99,Done,Done,Done,Done
450,8690777401364,Sekeroglu,Nuts Dessert,740g,Sweets,4.99,Done,Done,Done,Done
451,4260157571136,Buram,Nuts in Syrup,720g,Sweets,4.99,Done,Done,,
